ID,POS,Name,ORG,Lev,DOB,B,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,Left,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SR,STE,Sct,SctAcc,Draft,OA Pick
12130,2B,Harold Albury,DUB,MLB,10/11/1996,L,3.0 Stars,5.0 Stars,L,H,L,N,L,L,Unmotivated,Fragile,?,55,70,65,70,45,80,75,75,75,Jun. 5th   2021,High,0,0
7971,SS,Luis Barragan,RME,MLB,07/10/1987,R,4.0 Stars,4.0 Stars,N,N,N,N,N,H,Normal,Wrecked,?,80,65,70,35,80,50,45,80,65,Jun. 4th   2021,V.High,2006,3
9564,2B,Alvin Cleary,CAL,MLB,05/20/1991,R,4.0 Stars,4.0 Stars,H,N,H,N,H,N,Captain,Normal,?,45,55,45,50,55,65,20,70,25,Jun. 4th   2021,V.High,2013,2
13465,RP,Andre Dowling,GAL,MLB,08/17/1997,L,2.0 Stars,2.5 Stars,H,N,N,N,H,N,Normal,Fragile,?,25,30,35,30,35,35,20,25,25,Jun. 5th   2021,V.High,0,0
12985,C,RYOUMA EZAKI,ADE,AA,11/06/1997,R,1.5 Stars,2.5 Stars,N,N,N,N,N,N,Normal,Normal,?,50,50,45,50,45,55,30,25,30,May 24th   2021,V.High,2016,73
15682,RP,Kaliq Fakih,DEN,R,08/02/2002,R,1.0 Stars,2.0 Stars,N,H,N,L,H,N,Unknown,Normal,?,30,25,30,40,35,25,20,20,20,May 31st   2021,High,2021,216
11577,SS,DAVID FERENCE,LDN,MLB,07/11/1996,R,3.5 Stars,3.5 Stars,N,N,N,N,N,N,Normal,Normal,?,80,65,60,50,40,50,50,60,55,May 31st   2021,V.High,2015,51
13885,CF,Masanori Ishikawa,CUR,A,06/28/2000,R,1.5 Stars,2.5 Stars,N,N,N,L,N,N,Humble,Normal,?,55,55,45,55,45,55,45,35,30,May 28th   2021,V.High,2018,98
14686,SS,Jin Joe,DUB,AAA,05/23/2000,L,2.0 Stars,2.0 Stars,L,N,N,N,N,L,Normal,Normal,?,45,50,60,50,40,55,65,35,35,May 23rd   2021,V.High,0,0
16215,C,Si-on Kim,CAL,A,11/12/2001,L,1.5 Stars,3.0 Stars,L,N,L,N,N,N,Unknown,Normal,?,60,45,50,80,55,35,25,25,20,May 19th   2021,High,2020,79
12390,1B,DOBRICA LEKOVIC,CUR,AA,01/16/1998,R,2.0 Stars,4.0 Stars,N,N,N,H,N,N,Normal,Normal,?,65,65,50,70,50,65,40,40,35,Jun. 21st   2021,V.High,2016,18
13327,RP,Luke Prokopec,ADE,A,08/15/1998,R,1.5 Stars,2.0 Stars,N,N,H,N,N,N,Normal,Fragile,?,25,30,35,20,35,35,35,30,20,Jul. 1st   2021,V.High,2018,46
11450,RP,ALVIN ALEXANDER,TOR,MLB,05/22/1994,R,2.5 Stars,2.5 Stars,N,L,N,N,H,N,Normal,Fragile,15 months,35,40,30,25,35,40,20,25,20,Apr. 24th   2021,V.High,2013,24
15246,SP,Rade Mandaric,DUB,A,01/18/2001,L,1.5 Stars,1.5 Stars,L,L,N,H,N,N,Selfish,Normal,13-14 months,50,45,35,25,40,45,25,20,20,May 6th   2021,High,0,0
11453,SP,TOM DOTINGA,LDN,MLB,11/29/1991,R,2.5 Stars,2.5 Stars,N,N,N,H,N,H,Normal,Fragile,12-13 months,35,40,30,20,30,40,20,20,20,May 16th   2021,High,2014,58
10726,SP,Luis Garcia,LAP,MLB,10/25/1994,S,3.0 Stars,3.0 Stars,N,N,H,H,N,N,Normal,Normal,12 months,40,40,35,25,20,40,25,25,20,Apr. 25th   2021,High,0,0
14941,SP,Gautier Ronchetti,HON,R,11/09/2000,L,1.5 Stars,2.5 Stars,N,N,N,N,N,N,Normal,Normal,12 months,40,40,35,25,35,40,20,20,20,Apr. 30th   2021,Avg,0,0
14561,SP,Angel Suarez,SMT,AA,01/11/2001,S,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,Normal,12 months,25,30,35,20,40,35,25,20,20,Mar. 13th   2021,Avg,2019,88
13938,SP,Tomohito Akamine,TOK,A,01/29/2000,L,1.5 Stars,2.0 Stars,N,N,N,L,N,N,Unknown,Normal,11-12 months,35,40,35,25,40,40,20,25,20,Mar. 15th   2021,Avg,2021,47
8025,SP,Jason Campbell,LON,AAA,03/31/1987,R,2.5 Stars,2.5 Stars,N,L,N,N,N,H,Normal,Normal,11-12 months,25,20,30,20,20,20,30,35,35,May 3rd   2021,High,2006,13
16116,3B,Dragutin Roganovic,CLE,INT,07/27/2002,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,11-12 months,50,50,45,35,45,55,35,35,35,Oct. 3rd   2020,Low,0,0
13952,SP,Armando Alcala,LDN,A,07/06/1999,L,1.5 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,11 months,35,35,35,20,40,40,25,25,25,Mar. 15th   2021,Avg,2018,186
12219,SP,Ki-seop Jung,DUB,A,09/28/1996,R,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Normal,Fragile,11 months,40,45,35,30,30,45,20,20,20,Mar. 15th   2021,Avg,0,0
