ID,Age,DOB,Name,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VELO,STM,Draft,OA Pick
13295,22,06/17/1998,Owen Begum,2.0 Stars,2.0 Stars,Normal,50,50,50,55,-,-,50,50,-,-,-,50,-,-,-,93-95,30,2017,1
7357,34,06/16/1986,ERIK CALABRIA,2.0 Stars,2.0 Stars,Fragile,50,35,50,50,-,-,50,-,-,-,-,-,-,-,-,91-93,45,2004,1
15846,17,10/11/2003,Archie Cooper,1.5 Stars,5.0 Stars,Durable,75,60,75,80,80,80,-,55,-,-,-,-,-,-,-,92-94,50,2021,1
8983,35,04/30/1986,Brian Davis,2.5 Stars,2.5 Stars,Fragile,45,45,50,-,55,-,-,50,-,50,-,-,-,-,-,90-92,55,2007,1
11750,25,03/19/1996,Isami Endo,2.5 Stars,2.5 Stars,Normal,50,40,70,50,65,-,-,80,-,-,-,-,-,-,-,96-98,40,2015,1
9042,35,12/22/1985,STEVE GRIPP,2.5 Stars,2.5 Stars,Normal,45,45,55,50,-,-,-,45,45,25,-,-,-,-,-,93-95,45,2008,1
5254,42,12/09/1978,Josh Harrington,2.5 Stars,2.5 Stars,Fragile,45,45,45,45,20,-,-,50,50,-,-,-,-,-,-,91-93,65,0,1
11418,26,08/02/1994,Yataro Kaneshiro,2.5 Stars,2.5 Stars,Normal,45,50,50,-,55,55,60,-,50,45,-,-,-,-,-,95-97,40,2013,1
9995,33,08/25/1987,Charles Lyell,2.5 Stars,2.5 Stars,Durable,50,40,55,65,50,50,-,60,-,-,-,-,-,25,-,95-97,55,2009,1
13850,22,03/18/1999,Charlie Parker,2.0 Stars,2.5 Stars,Normal,50,50,55,-,50,55,65,-,-,55,-,-,-,-,-,95-97,35,2018,1
5394,39,10/18/1981,Jimmy Schorr,3.0 Stars,3.0 Stars,Iron Man,45,65,55,50,50,-,-,30,-,-,-,45,-,55,-,91-93,65,2002,1
10099,27,07/05/1993,Dave Spuller,3.5 Stars,3.5 Stars,Durable,65,50,60,80,65,60,-,75,60,-,-,-,-,-,-,97-99,30,2011,1
15035,18,09/18/2002,Gene Wills,1.5 Stars,4.0 Stars,Normal,60,55,70,75,55,-,-,60,80,-,-,-,-,-,-,92-94,50,2020,1
13270,23,12/19/1997,Brayden Bourke,2.0 Stars,2.5 Stars,Normal,55,50,50,70,60,-,55,60,60,-,-,-,-,65,-,96-98,40,2017,2
9434,34,04/23/1987,Larry Haake,2.5 Stars,2.5 Stars,Iron Man,75,20,50,55,80,-,65,60,-,-,-,-,70,-,-,92-94,65,2009,2
7348,35,08/09/1985,JALEN HAMMOND,2.5 Stars,2.5 Stars,Iron Man,55,50,45,-,50,-,-,-,70,80,-,-,-,-,-,94-96,55,2004,2
8395,32,08/06/1988,DONOVAN HOYME JR.,2.5 Stars,2.5 Stars,Normal,50,55,45,55,50,-,50,50,-,50,-,-,-,-,-,93-95,55,2007,2
14420,24,06/01/1996,Paolo Janssen,2.5 Stars,2.5 Stars,Normal,50,55,55,-,60,65,55,40,50,-,-,-,-,-,-,94-96,45,2019,2
15037,20,05/07/2001,Bong-hwan Park,1.5 Stars,5.0 Stars,Normal,65,70,80,-,80,75,80,80,80,-,-,-,-,-,-,93-95,70,2020,2
10140,29,05/18/1992,RYAN STACEY,2.0 Stars,2.0 Stars,Normal,45,45,45,55,-,65,-,-,45,-,-,-,-,-,-,93-95,55,2011,2
12943,23,08/26/1997,Danny Aguilar,2.0 Stars,2.0 Stars,Fragile,50,50,45,-,50,-,-,55,-,50,-,-,-,-,-,95-97,35,2016,3
10839,27,08/23/1993,RANDALL BLEVINS,2.5 Stars,2.5 Stars,Durable,50,40,55,-,40,-,-,55,-,70,-,-,-,-,-,95-97,50,2012,3
15655,22,08/07/1998,Abdul-Karim Fadil,2.0 Stars,3.0 Stars,Normal,65,50,75,80,70,80,-,75,-,-,-,-,-,80,-,97-99,40,2020,3
8685,35,07/03/1985,Jesus Fuentes,3.0 Stars,3.0 Stars,Iron Man,45,50,50,45,25,-,50,55,-,-,-,-,-,-,-,91-93,60,2007,3
11575,24,11/19/1996,Mike Golunski,2.5 Stars,3.5 Stars,Normal,65,55,60,80,65,-,-,65,-,-,-,-,-,50,-,96-98,60,2015,3
9700,30,02/09/1991,David Harby,3.5 Stars,3.5 Stars,Wrecked,65,45,65,80,60,80,-,65,70,65,-,-,-,-,-,96-98,45,2009,3
15566,20,06/28/2000,Jaime Porras,1.5 Stars,2.5 Stars,Normal,50,50,60,45,55,-,-,55,-,-,-,-,-,70,-,93-95,60,2019,3
10634,26,02/07/1995,Doug Schueller,2.0 Stars,2.0 Stars,Fragile,55,25,55,55,50,65,55,55,-,-,55,-,-,-,-,93-95,50,2013,3
11484,25,10/05/1995,Zayd bin Talal,3.0 Stars,3.0 Stars,Fragile,55,50,70,55,65,-,-,-,-,70,-,-,-,-,-,92-94,50,2014,4
8519,32,08/12/1988,Bill Bone,3.0 Stars,3.0 Stars,Fragile,50,50,50,70,-,-,45,55,-,-,-,-,-,-,-,95-97,50,2007,4
14491,21,05/01/2000,Bill Brewster,1.5 Stars,2.5 Stars,Normal,60,50,45,80,-,-,-,60,-,75,-,-,-,-,-,95-97,50,2019,4
10573,28,05/02/1993,LYLE COBB,2.5 Stars,2.5 Stars,Normal,50,50,50,55,-,-,70,45,-,-,-,-,-,40,-,94-96,40,2012,4
12319,24,09/21/1996,Clive Cunningham,2.5 Stars,3.0 Stars,Normal,50,55,65,75,55,75,-,-,-,-,-,-,70,-,-,96-98,55,2015,4
9763,30,04/14/1991,Shane Dillenburg,2.0 Stars,2.0 Stars,Normal,45,40,45,50,50,35,45,50,-,-,-,-,-,-,-,94-96,40,2010,4
13067,23,02/13/1998,Chris Johnson,2.0 Stars,2.5 Stars,Fragile,45,55,70,45,50,45,-,50,-,-,-,-,-,-,-,89-91,55,2017,4
16210,19,07/11/2001,Tommy McQuinn,2.0 Stars,4.5 Stars,Fragile,80,55,70,80,65,-,-,75,75,80,-,-,-,-,-,95-97,50,2020,4
13202,24,05/02/1997,Danny Melendez,2.5 Stars,2.5 Stars,Normal,45,55,50,55,50,-,-,-,35,-,-,-,-,-,-,93-95,60,2016,4
9086,31,03/25/1990,ALEX PARKER,2.0 Stars,2.0 Stars,Fragile,50,75,35,-,-,-,65,-,65,45,-,-,-,-,-,94-96,55,2008,4
6702,37,11/11/1983,DAVE MARTINEZ,3.0 Stars,3.0 Stars,Iron Man,50,80,55,60,25,-,65,50,-,-,-,-,-,-,-,93-95,45,2002,5
15610,19,12/01/2001,Jake Moncrief,1.5 Stars,5.0 Stars,Normal,80,45,80,80,80,-,-,-,80,-,-,-,-,-,-,96-98,55,2020,5
14428,20,12/24/2000,Jim Shewman,1.5 Stars,3.5 Stars,Normal,50,70,65,-,65,-,65,-,-,65,-,-,-,-,-,93-95,65,2019,5
10622,26,03/06/1995,James Stinson,2.5 Stars,2.5 Stars,Durable,80,30,55,80,80,-,-,-,-,80,-,-,-,-,-,96-98,55,2013,5
10405,28,03/03/1993,Jason White,2.0 Stars,2.0 Stars,Durable,45,35,45,-,35,45,-,45,-,35,-,-,-,-,-,93-95,40,2012,5
